,Tournament,Date,Team_1,Team_2,Score_1,Score_2
0,2019-EUCRN,2019-08-03,PirU,Me & My Monkey,14,12
1,2019-EUCRN,2019-08-03,RealFive,Shadows,15,5
2,2019-EUCRN,2019-08-03,Sokol,Rampage,7,10
3,2019-EUCRN,2019-08-03,JuPiter,Flying Steps,9,8
4,2019-EUCRN,2019-08-03,RealFive,Rampage,15,11
5,2019-EUCRN,2019-08-03,Sokol,Shadows,15,12
6,2019-EUCRN,2019-08-03,PirU,Flying Steps,13,7
7,2019-EUCRN,2019-08-03,JuPiter,Me & My Monkey,15,10
8,2019-EUCRN,2019-08-03,PirU,JuPiter,11,15
9,2019-EUCRN,2019-08-03,Rampage,Shadows,15,10
10,2019-EUCRN,2019-08-03,RealFive,Sokol,12,10
11,2019-EUCRN,2019-08-03,Flying Steps,Me & My Monkey,6,12
12,2019-EUCRN,2019-08-04,RealFive,PirU,15,7
13,2019-EUCRN,2019-08-04,JuPiter,Rampage,8,11
14,2019-EUCRN,2019-08-04,Sokol,Flying Steps,12,13
15,2019-EUCRN,2019-08-04,Me & My Monkey,Shadows,9,15
16,2019-EUCRN,2019-08-04,RealFive,Rampage,15,1
17,2019-EUCRN,2019-08-04,PirU,JuPiter,9,10
18,2019-EUCRN,2019-08-04,Flying Steps,Shadows,11,9
19,2019-EUCRN,2019-08-04,Sokol,Me & My Monkey,14,10
20,2019-EUCRE,2019-08-23,THE BRIDGE,Gigolo,15,12
21,2019-EUCRE,2019-08-23,Uprising,thebigEZ,10,15
22,2019-EUCRE,2019-08-23,Yellow Block open,Catchup Graz,10,15
23,2019-EUCRE,2019-08-23,Cosmo Men,Prague Devils,9,15
24,2019-EUCRE,2019-08-23,FWD>>,Mojra,15,14
25,2019-EUCRE,2019-08-23,FUJ,Terrible Monkeys,15,9
26,2019-EUCRE,2019-08-23,Catchup Graz,Gigolo,15,10
27,2019-EUCRE,2019-08-23,THE BRIDGE,thebigEZ,11,15
28,2019-EUCRE,2019-08-23,Uprising,Yellow Block open,15,10
29,2019-EUCRE,2019-08-23,FWD>>,Terrible Monkeys,15,11
30,2019-EUCRE,2019-08-23,FUJ,Cosmo Men,15,12
31,2019-EUCRE,2019-08-23,Prague Devils,Mojra,15,14
32,2019-EUCRC,2019-08-24,Family Ultimate,Gentle Open,11,12
33,2019-EUCRC,2019-08-24,Mooncatchers,Frank N,13,11
34,2019-EUCRC,2019-08-24,Force Elektro 1,KFK - Copenhagen Frisbee Club,3,13
35,2019-EUCRC,2019-08-24,HELGTRE OPEN,Heidees,9,13
