,Date,Tournament,Team_1,Team_2,Score_1,Score_2
0,2022-04-16,2022 Elite Invite,CUSB La Fotta,Bad Skid,15,12
1,2022-04-16,2022 Elite Invite,Wall City,Gentle Open,15,6
2,2022-04-16,2022 Elite Invite,3SB,Clapham Ultimate,10,15
3,2022-04-16,2022 Elite Invite,Ranelagh,KFK - Copenhagen Frisbee Club,15,13
4,2022-04-16,2022 Elite Invite,Ranelagh,Clapham Ultimate,9,15
5,2022-04-16,2022 Elite Invite,Gentle Open,CUSB La Fotta,6,15
6,2022-04-16,2022 Elite Invite,KFK - Copenhagen Frisbee Club,3SB,11,6
7,2022-04-16,2022 Elite Invite,Wall City,Bad Skid,15,9
8,2022-04-17,2022 Elite Invite,Bad Skid,Gentle Open,14,11
9,2022-04-17,2022 Elite Invite,Wall City,CUSB La Fotta,6,15
10,2022-04-17,2022 Elite Invite,Clapham Ultimate,KFK - Copenhagen Frisbee Club,15,9
11,2022-04-17,2022 Elite Invite,Ranelagh,3SB,13,15
12,2022-04-17,2022 Elite Invite,KFK - Copenhagen Frisbee Club,CUSB La Fotta,6,15
13,2022-04-17,2022 Elite Invite,Clapham Ultimate,Wall City,13,15
14,2022-04-17,2022 Elite Invite,Ranelagh,Gentle Open,15,14
15,2022-04-17,2022 Elite Invite,3SB,Bad Skid,11,15
16,2022-04-18,2022 Elite Invite,Clapham Ultimate,KFK - Copenhagen Frisbee Club,15,10
17,2022-04-18,2022 Elite Invite,Ranelagh,Bad Skid,12,15
18,2022-04-18,2022 Elite Invite,Gentle Open,3SB,10,15
19,2022-04-18,2022 Elite Invite,Wall City,CUSB La Fotta,15,11
20,2022-06-24,2022 EUCQ-E,Cosmo,Cus Padova Barbastreji,9,15
21,2022-06-24,2022 EUCQ-E,Outsiterz,ZagrebTeam,15,6
22,2022-06-24,2022 EUCQ-E,Heroes FD Open,Nuclear Discs,9,12
23,2022-06-24,2022 EUCQ-E,Cosmo,ZagrebTeam,13,10
24,2022-06-24,2022 EUCQ-E,Cus Padova Barbastreji,Outsiterz,15,10
25,2022-06-24,2022 EUCQ-E,Nuclear Discs,Outsiterz,12,15
26,2022-06-24,2022 EUCQ-E,Cosmo,Heroes FD Open,15,10
27,2022-06-24,2022 EUCQ-E,ZagrebTeam,Nuclear Discs,12,10
28,2022-06-24,2022 EUCQ-E,Cus Padova Barbastreji,Heroes FD Open,15,1
29,2022-06-24,2022 EUCQ-E,Cosmo,Nuclear Discs,15,12
30,2022-06-24,2022 EUCQ-E,ZagrebTeam,Cus Padova Barbastreji,13,15
31,2022-06-24,2022 EUCQ-E,Outsiterz,Heroes FD Open,15,9
32,2022-06-25,2022 EUCQ-E,Nuclear Discs,Cus Padova Barbastreji,3,15
33,2022-06-25,2022 EUCQ-E,Cosmo,Outsiterz,8,15
34,2022-06-25,2022 EUCQ-E,Heroes FD Open,ZagrebTeam,6,14
35,2022-06-25,2022 EUCQ-E,Nuclear Discs,Heroes FD Open,0,1
36,2022-06-25,2022 EUCQ-E,Cus Padova Barbastreji,ZagrebTeam,15,9
37,2022-06-25,2022 EUCQ-E,Cosmo,Outsiterz,13,15
38,2022-06-24,2022 EUCQ-E,Cosmo,Cus Padova Barbastreji,9,15
39,2022-06-24,2022 EUCQ-E,Outsiterz,ZagrebTeam,15,6
40,2022-06-24,2022 EUCQ-E,Heroes FD Open,Nuclear Discs,9,12
41,2022-06-24,2022 EUCQ-E,Cosmo,ZagrebTeam,13,10
42,2022-06-24,2022 EUCQ-E,Cus Padova Barbastreji,Outsiterz,15,10
43,2022-06-24,2022 EUCQ-E,Nuclear Discs,Outsiterz,12,15
44,2022-06-24,2022 EUCQ-E,Cosmo,Heroes FD Open,15,10
45,2022-06-24,2022 EUCQ-E,ZagrebTeam,Nuclear Discs,12,10
46,2022-06-24,2022 EUCQ-E,Cus Padova Barbastreji,Heroes FD Open,15,1
47,2022-06-24,2022 EUCQ-E,Cosmo,Nuclear Discs,15,12
48,2022-06-24,2022 EUCQ-E,ZagrebTeam,Cus Padova Barbastreji,13,15
49,2022-06-24,2022 EUCQ-E,Outsiterz,Heroes FD Open,15,9
50,2022-06-25,2022 EUCQ-E,Nuclear Discs,Cus Padova Barbastreji,3,15
51,2022-06-25,2022 EUCQ-E,Cosmo,Outsiterz,8,15
52,2022-06-25,2022 EUCQ-E,Heroes FD Open,ZagrebTeam,6,14
53,2022-06-25,2022 EUCQ-E,Nuclear Discs,Heroes FD Open,0,1
54,2022-06-25,2022 EUCQ-E,Cus Padova Barbastreji,ZagrebTeam,15,9
55,2022-06-25,2022 EUCQ-E,Cosmo,Outsiterz,13,15
56,2022-08-27,2022 EUCR-C O,7 Schwaben,Bad Skid,6,13
57,2022-08-27,2022 EUCR-C O,KFK - Copenhagen Frisbee Club,Ufo open 1,13,6
58,2022-08-27,2022 EUCR-C O,Wall City,Aarhus Ultimate,13,4
59,2022-08-27,2022 EUCR-C O,Mooncatchers,Ars Ludendi Darmstadt,13,11
60,2022-08-27,2022 EUCR-C O,7 Schwaben,Gentle Open,8,13
61,2022-08-27,2022 EUCR-C O,M.U.C.,Ufo open 1,13,5
62,2022-08-27,2022 EUCR-C O,Jetset Open,Aarhus Ultimate,13,1
63,2022-08-27,2022 EUCR-C O,Heidees,Ars Ludendi Darmstadt,13,8
64,2022-08-27,2022 EUCR-C O,Bad Skid,Gentle Open,13,8
65,2022-08-27,2022 EUCR-C O,KFK - Copenhagen Frisbee Club,M.U.C.,10,13
66,2022-08-27,2022 EUCR-C O,Jetset Open,Wall City,12,13
67,2022-08-27,2022 EUCR-C O,Mooncatchers,Heidees,13,10
68,2022-08-27,2022 EUCR-C O,Jetset Open,Ars Ludendi Darmstadt,15,11
69,2022-08-27,2022 EUCR-C O,Heidees,Aarhus Ultimate,15,11
70,2022-08-27,2022 EUCR-C O,Gentle Open,Ufo open 1,15,13
71,2022-08-27,2022 EUCR-C O,KFK - Copenhagen Frisbee Club,7 Schwaben,15,9
72,2022-08-27,2022 EUCR-C O,Wall City,KFK - Copenhagen Frisbee Club,15,6
73,2022-08-27,2022 EUCR-C O,Mooncatchers,Gentle Open,15,8
74,2022-08-27,2022 EUCR-C O,Bad Skid,Heidees,15,10
75,2022-08-27,2022 EUCR-C O,M.U.C.,Jetset Open,15,14
76,2022-08-28,2022 EUCR-C O,Bad Skid,M.U.C.,15,10
77,2022-08-28,2022 EUCR-C O,Mooncatchers,Wall City,14,12
78,2022-08-28,2022 EUCR-C O,Ufo open 1,7 Schwaben,12,15
79,2022-08-28,2022 EUCR-C O,Aarhus Ultimate,Ars Ludendi Darmstadt,13,12
80,2022-08-28,2022 EUCR-C O,Heidees,Jetset Open,15,11
81,2022-08-28,2022 EUCR-C O,Gentle Open,KFK - Copenhagen Frisbee Club,15,12
