Team,W,L,Rating
Ring of Fire,16,0,2044.29
Sockeye,32,4,1925.18
PoNY,28,8,1876.1
Chicago Machine,24,5,1861.3
Revolver,20,5,1856.5
Truck Stop,20,7,1851.95
Chain Lightning,16,8,1746.41
DiG,26,8,1746.3
Rhino Slam!,20,10,1744.68
SoCal Condors,17,11,1721.32
Johnny Bravo,20,12,1698.07
Pittsburgh Temper,18,8,1686.45
The Killjoys,20,9,1601.36
Doublewide,6,3,1558.14
Lotus,21,14,1534.63
Sub Zero,14,9,1526.09
Mad Men,26,1,1515
Vault,20,4,1513.19
Tanasi,12,4,1499.62
Raleigh-Durham United,19,10,1467.92
Phantom,15,4,1445.34
Sprout,20,10,1442.23
Garden State Ultimate,20,5,1423.56
Yogosbo,1,4,1393.53
The Expendables,9,4,1348.96
Lost Boys,9,4,1313.72
Emerald City,12,9,1311.37
H.I.P,12,5,1308.08
Fungi,15,15,1307.82
OAT,12,6,1290.44
Phoenix F.C.,13,6,1283.14
El Niño,15,3,1273.01
Colonels,12,3,1270.4
Clutch,16,8,1239.45
Streetgang,13,4,1234.87
Mallard,15,11,1213.78
Omen 1,16,6,1206.47
Dark Star,8,9,1205.02
SOUF,7,7,1181.53
SORD,6,5,1167.87
Rumspringa,11,3,1162.26
Indy Club,7,5,1151.03
Big Wrench,15,8,1150.68
Oakgrove Boys,11,7,1132.3
Rush Hour ATL,7,5,1132
Sundowners,9,5,1118.04
Handsome,4,2,1114.05
ISO Atmo,15,11,1100.63
Knights of Ni,17,12,1089.47
Nain Rouge,12,7,1086.14
Flash Flood,9,7,1060.02
Inception,10,14,1037.01
Yee-Haw,4,3,1030.16
Shade,12,12,1030.06
Hazard 1,10,12,1024.18
Blueprint,12,8,1023.15
Iditarod,13,9,1017.47
Berkeley Zyzzyva,8,9,1015.33
Wavestorms,9,8,1005.75
Space Cowboys,5,7,1005.52
Magma Bears,9,6,1004.5
Barefoot,5,5,994.54
Right Coast,5,7,973.19
Enigma,11,10,972.86
DeMo,19,7,949.68
CITYWIDE Special,12,10,949.21
Colt Light,6,1,948.69
Bormingham SectionBoi$,3,3,939.06
Pittsburgh Stealers,5,6,938.21
Swarm,6,6,937.95
Watchdogs,14,8,934.71
UpRoar,8,9,927.54
Joe Sefton's Little Heroes,8,4,927.53
PowderHogs,6,9,926.75
Trainwreck and Friends,4,7,921.8
Black Market I,10,18,917.09
Deathsquad,6,9,913.51
BAG,8,12,904.32
Beachfront Property,5,7,882.35
Old Ephraim,1,6,876.62
Lantern,6,7,876.06
Helots,15,11,873.67
Charleston Heat Stroke,2,5,872.26
Haymaker,11,13,871.93
SlimJim FC,5,2,865.4
Kansas City Smokestack,15,11,861.57
Ghost Train,4,8,859.2
CaSTLe,13,9,846.5
Scythe,16,15,845.95
Dreadnought,9,4,845.11
Riverside,7,6,844.53
Fine Giant,5,11,830.66
Richmond Floodwall,8,10,818.78
Cryptic,12,23,816.48
Battery,9,7,815.52
Tampa Tempest,9,10,814.47
MKE,11,14,804.79
