Team,W,L,Rating
Seattle Mixtape,26,4,2079.32
BFG,25,4,2052.94
Drag'n Thrust,18,4,1934.58
Space Heater,17,5,1848.92
shame.,25,8,1844.83
AMP,23,6,1829.09
Hybrid,28,3,1807.39
Toro,19,4,1771.04
Slow,23,7,1765.64
NOISE,21,4,1738.76
Lawless,22,15,1636.47
Public Enemy,14,7,1610.15
Cleveland Crocs,20,5,1600.87
Sorta,5,5,1598.33
Lochsa,21,13,1598.07
Sprocket,19,10,1592.24
Kansas City United,17,7,1589.92
Love Tractor,18,13,1589.35
Polar Bears,14,10,1585.21
'Shine,19,10,1585.1
Columbus Cocktails,23,9,1580.24
U54 Ultimate,11,1,1534.88
MOONDOG,16,9,1508.65
Team Martian,2,0,1496.16
Lotus,15,6,1489.39
Rally,12,3,1483.06
The Chad Larson Experience,10,6,1467.51
Impact,17,6,1460.33
Waterloo,11,6,1453.98
Birdfruit,12,6,1450.03
Enough Monkeys,1,0,1441.15
Mischief,11,6,1427.03
Space Force,17,2,1426.38
Classy,16,3,1397.71
California Burrito,13,5,1396.59
XIST,15,11,1395.87
Northern Comfort,11,8,1377.32
No Touching!,16,10,1370.07
Wild Card,12,11,1345.21
Superlame,14,4,1343.93
Chalice,14,11,1341.14
The Administrators,13,5,1335.23
Steamboat,16,10,1333.2
Fleet,16,6,1332.97
m'kay Ultimate,8,5,1308.47
Flight Club,16,12,1280.01
Lights Out,6,5,1274.4
Donuts,14,9,1244.45
Woodwork,16,9,1237.89
Deadweight,14,4,1231.49
Alloy,11,11,1223.71
Stripes,14,5,1217.8
Grand Army,11,7,1214.65
Loco,12,6,1210.52
Darkwing,16,10,1187.06
Vendetta,6,1,1174.87
Minnesota Star Power,14,12,1169.97
Malice in Wonderland,10,11,1162.05
The Celebrities,3,2,1150.67
Storm,17,9,1150.31
8 Bit Heroes,18,12,1125.9
Bullet Train,8,10,1121.23
Toast,13,12,1117.05
Flock,6,6,1107.1
Revival,13,7,1097.16
Townies,6,4,1094.6
Til Death Do Us Party,3,0,1091.46
League of Shadows,11,13,1089.08
Hang Time,8,8,1087.55
Ouzel,12,10,1086.42
Jughandle,11,7,1084.87
