,Round,Tournament,Date,Team_1,Team_2,Score_1,Score_2
0,8,Windmill Windup 2018,2018-06-24,Rusty Bikes,Bromance,15,7
1,8,Windmill Windup 2018,2018-06-24,Panas ultimate Dream Team,Flying Rabbits,9,11
2,8,Windmill Windup 2018,2018-06-24,Wizards,Terrible Monkeys,15,8
3,8,Windmill Windup 2018,2018-06-24,(r)Evolution,Sexicans,15,12
4,8,Windmill Windup 2018,2018-06-24,Pirates Hearts Ninjas,Oy Vey!,10,15
5,8,Windmill Windup 2018,2018-06-24,Glasgow Ultimate,Mubidisk,14,13
6,8,Windmill Windup 2018,2018-06-24,Too many cooks,Iron Horse,15,8
7,8,Windmill Windup 2018,2018-06-24,Jabba The Huck,Costa Negra,12,14
8,8,Windmill Windup 2018,2018-06-24,Hungary Mixed National Team,Rebel Ultimate,13,15
9,8,Windmill Windup 2018,2018-06-24,Sugar-Mix,Black Sheep,12,11
10,8,Windmill Windup 2018,2018-06-24,Aloha Reunion Team,AUC Mayhem,13,15
11,8,Windmill Windup 2018,2018-06-24,Shenanigans,Administrators,15,6
12,8,Windmill Windup 2018,2018-06-24,Left Overs,Disctèrics Ultimate Girona,10,13
13,8,Windmill Windup 2018,2018-06-24,Jogo Bonito Social Club,SMOG,11,8
14,8,Windmill Windup 2018,2018-06-24,KWR Knury,UAE Mixed,13,14
15,8,Windmill Windup 2018,2018-06-24,Sexy Legs,Steamhuck,13,15
16,7,Windmill Windup 2018,2018-06-23,Costa Negra,Steamhuck,15,12
17,7,Windmill Windup 2018,2018-06-23,Jabba The Huck,Rusty Bikes,7,15
18,7,Windmill Windup 2018,2018-06-23,Flying Rabbits,Rebel Ultimate,13,15
19,7,Windmill Windup 2018,2018-06-23,Jogo Bonito Social Club,Shenanigans,12,15
20,7,Windmill Windup 2018,2018-06-23,Sexy Legs,Oy Vey!,8,14
21,7,Windmill Windup 2018,2018-06-23,(r)Evolution,Bromance,15,12
22,7,Windmill Windup 2018,2018-06-23,Too many cooks,Disctèrics Ultimate Girona,13,15
23,7,Windmill Windup 2018,2018-06-23,Black Sheep,Left Overs,15,8
24,7,Windmill Windup 2018,2018-06-23,Mubidisk,SMOG,10,13
25,7,Windmill Windup 2018,2018-06-23,Glasgow Ultimate,Administrators,13,14
26,7,Windmill Windup 2018,2018-06-23,KWR Knury,Sugar-Mix,14,13
27,7,Windmill Windup 2018,2018-06-23,Pirates Hearts Ninjas,AUC Mayhem,15,7
28,7,Windmill Windup 2018,2018-06-23,Aloha Reunion Team,Sexicans,7,15
29,7,Windmill Windup 2018,2018-06-23,UAE Mixed,Terrible Monkeys,14,11
30,7,Windmill Windup 2018,2018-06-23,Iron Horse,Panas ultimate Dream Team,12,14
31,7,Windmill Windup 2018,2018-06-23,Wizards,Hungary Mixed National Team,15,7
32,6,Windmill Windup 2018,2018-06-23,Glasgow Ultimate,Shenanigans,14,12
33,6,Windmill Windup 2018,2018-06-23,Jogo Bonito Social Club,Mubidisk,15,11
34,6,Windmill Windup 2018,2018-06-23,Black Sheep,Too many cooks,15,9
35,6,Windmill Windup 2018,2018-06-23,Sexicans,Pirates Hearts Ninjas,15,13
36,6,Windmill Windup 2018,2018-06-23,SMOG,Administrators,13,14
37,6,Windmill Windup 2018,2018-06-23,Costa Negra,Oy Vey!,8,14
38,6,Windmill Windup 2018,2018-06-23,Wizards,Disctèrics Ultimate Girona,11,10
39,6,Windmill Windup 2018,2018-06-23,Sexy Legs,AUC Mayhem,15,11
40,6,Windmill Windup 2018,2018-06-23,Rusty Bikes,Steamhuck,15,4
41,6,Windmill Windup 2018,2018-06-23,KWR Knury,Hungary Mixed National Team,15,6
42,6,Windmill Windup 2018,2018-06-23,Panas ultimate Dream Team,Aloha Reunion Team,15,9
43,6,Windmill Windup 2018,2018-06-23,Iron Horse,Flying Rabbits,9,10
44,6,Windmill Windup 2018,2018-06-23,Jabba The Huck,Bromance,11,15
45,6,Windmill Windup 2018,2018-06-23,Left Overs,Terrible Monkeys,12,13
46,6,Windmill Windup 2018,2018-06-23,(r)Evolution,Rebel Ultimate,10,14
47,6,Windmill Windup 2018,2018-06-23,UAE Mixed,Sugar-Mix,11,15
48,5,Windmill Windup 2018,2018-06-23,Shenanigans,Mubidisk,15,14
49,5,Windmill Windup 2018,2018-06-23,Iron Horse,Wizards,14,15
50,5,Windmill Windup 2018,2018-06-23,Jabba The Huck,Pirates Hearts Ninjas,15,11
51,5,Windmill Windup 2018,2018-06-23,Sexicans,Rusty Bikes,15,12
52,5,Windmill Windup 2018,2018-06-23,Disctèrics Ultimate Girona,Panas ultimate Dream Team,11,6
53,5,Windmill Windup 2018,2018-06-23,Steamhuck,Oy Vey!,11,10
54,5,Windmill Windup 2018,2018-06-23,KWR Knury,Administrators,7,15
55,5,Windmill Windup 2018,2018-06-23,Black Sheep,Hungary Mixed National Team,12,10
56,5,Windmill Windup 2018,2018-06-23,Salaspils FC,Colorado Karlsruhe,15,6
57,5,Windmill Windup 2018,2018-06-23,Left Overs,Too many cooks,11,15
58,5,Windmill Windup 2018,2018-06-23,Sexy Legs,Flying Rabbits,3,15
59,5,Windmill Windup 2018,2018-06-23,UAE Mixed,SMOG,8,15
60,5,Windmill Windup 2018,2018-06-23,Jogo Bonito Social Club,Hässliche Erdferkel,8,15
61,5,Windmill Windup 2018,2018-06-23,Terrible Monkeys,Sugar-Mix,9,15
62,5,Windmill Windup 2018,2018-06-23,Glasgow Ultimate,SeE6,9,15
63,5,Windmill Windup 2018,2018-06-23,Costa Negra,AUC Mayhem,15,7
64,5,Windmill Windup 2018,2018-06-23,Reading Ultimate,Sesquidistus,13,10
65,5,Windmill Windup 2018,2018-06-23,Aloha Reunion Team,(r)Evolution,10,12
66,5,Windmill Windup 2018,2018-06-23,Bromance,Rebel Ultimate,13,15
67,5,Windmill Windup 2018,2018-06-23,Grut,Team Radio Shower,15,9
68,4,Windmill Windup 2018,2018-06-23,Rebel Ultimate,Sexy Legs,13,15
69,4,Windmill Windup 2018,2018-06-23,Black Sheep,Team Radio Shower,4,15
70,4,Windmill Windup 2018,2018-06-23,Salaspils FC,SeE6,15,8
71,4,Windmill Windup 2018,2018-06-23,Pirates Hearts Ninjas,Bromance,12,14
72,4,Windmill Windup 2018,2018-06-23,Mubidisk,Administrators,15,10
73,4,Windmill Windup 2018,2018-06-23,Jabba The Huck,Panas ultimate Dream Team,12,15
74,4,Windmill Windup 2018,2018-06-23,AUC Mayhem,Oy Vey!,6,15
75,4,Windmill Windup 2018,2018-06-23,Sesquidistus,Glasgow Ultimate,12,15
76,4,Windmill Windup 2018,2018-06-23,Sugar-Mix,Aloha Reunion Team,15,5
77,4,Windmill Windup 2018,2018-06-23,Reading Ultimate,Colorado Karlsruhe,12,15
78,4,Windmill Windup 2018,2018-06-23,SMOG,Shenanigans,10,15
79,4,Windmill Windup 2018,2018-06-23,Grut,Jogo Bonito Social Club,15,11
80,4,Windmill Windup 2018,2018-06-23,Steamhuck,Wizards,3,15
81,4,Windmill Windup 2018,2018-06-23,Flying Rabbits,Sexicans,12,11
82,4,Windmill Windup 2018,2018-06-23,Iron Horse,Terrible Monkeys,12,15
83,4,Windmill Windup 2018,2018-06-23,Rusty Bikes,(r)Evolution,12,14
84,4,Windmill Windup 2018,2018-06-23,UAE Mixed,Left Overs,15,6
85,4,Windmill Windup 2018,2018-06-23,KWR Knury,Hässliche Erdferkel,7,15
86,4,Windmill Windup 2018,2018-06-23,Hungary Mixed National Team,Disctèrics Ultimate Girona,10,15
87,4,Windmill Windup 2018,2018-06-23,Too many cooks,Costa Negra,15,1
88,3,Windmill Windup 2018,2018-06-22,Pirates Hearts Ninjas,Costa Negra,12,13
89,3,Windmill Windup 2018,2018-06-22,Reading Ultimate,Grut,15,12
90,3,Windmill Windup 2018,2018-06-22,Steamhuck,AUC Mayhem,15,6
91,3,Windmill Windup 2018,2018-06-22,Glasgow Ultimate,Jogo Bonito Social Club,10,15
92,3,Windmill Windup 2018,2018-06-22,Disctèrics Ultimate Girona,(r)Evolution,15,12
93,3,Windmill Windup 2018,2018-06-22,SMOG,Colorado Karlsruhe,6,15
94,3,Windmill Windup 2018,2018-06-22,Wizards,Left Overs,10,15
95,3,Windmill Windup 2018,2018-06-22,Oy Vey!,Panas ultimate Dream Team,6,15
96,3,Windmill Windup 2018,2018-06-22,Terrible Monkeys,Black Sheep,8,14
97,3,Windmill Windup 2018,2018-06-22,UAE Mixed,Hungary Mixed National Team,13,8
98,3,Windmill Windup 2018,2018-06-22,Iron Horse,Rusty Bikes,15,9
99,3,Windmill Windup 2018,2018-06-22,Mubidisk,KWR Knury,14,13
100,3,Windmill Windup 2018,2018-06-22,Sesquidistus,Team Radio Shower,14,11
101,3,Windmill Windup 2018,2018-06-22,Rebel Ultimate,Sugar-Mix,8,15
102,3,Windmill Windup 2018,2018-06-22,Bromance,Sexy Legs,13,8
103,3,Windmill Windup 2018,2018-06-22,Sexicans,Jabba The Huck,10,15
104,3,Windmill Windup 2018,2018-06-22,Too many cooks,Aloha Reunion Team,11,12
105,3,Windmill Windup 2018,2018-06-22,Flying Rabbits,Administrators,5,15
106,3,Windmill Windup 2018,2018-06-22,Hässliche Erdferkel,Salaspils FC,7,15
107,3,Windmill Windup 2018,2018-06-22,Shenanigans,SeE6,9,15
