,Round,Team,Rank,Rating,W,L,Avg_Goal_Diff,Avg_Opponent_Rating
0,8,Jogo Bonito Social Club,1,6.98,5,3,1.12,7.16
1,8,Shenanigans,2,6.91,6,2,2.62,5.41
2,8,Glasgow Ultimate,3,6.58,4,4,0.75,7.92
3,8,SMOG,4,5.16,4,4,1.38,4.42
4,8,Mubidisk,5,4.41,3,5,-0.25,5.14
5,8,Administrators,6,4.34,5,3,0.62,3.72
6,8,Sugar-Mix,7,2.15,6,2,4.25,-2.1
7,8,KWR Knury,8,2.08,3,5,-0.75,3.43
8,8,Black Sheep,9,1.43,5,3,1.5,1.09
9,8,UAE Mixed,10,0.8,5,3,0.75,0.57
10,8,Wizards,11,0.36,7,1,3.5,-3.14
11,8,Disctèrics Ultimate Girona,12,-0.15,5,3,0.62,-0.77
12,8,Too many cooks,13,-1.08,4,4,1.25,-2.33
13,8,Left Overs,14,-1.7,2,6,-1.75,0.64
14,8,Flying Rabbits,15,-2.25,5,3,0.88,-3.13
15,8,Terrible Monkeys,16,-2.26,3,5,-2.38,0.75
16,8,Panas ultimate Dream Team,17,-2.48,4,4,-0.25,-1.22
17,8,Rebel Ultimate,18,-2.59,5,3,1.25,-3.84
18,8,Iron Horse,19,-2.92,2,6,-1.38,-0.9
19,8,Rusty Bikes,20,-3.8,4,4,1.75,-5.55
20,8,(r)Evolution,21,-3.83,5,3,-1.12,-2.71
21,8,Hungary Mixed National Team,22,-3.85,0,8,-4.75,1.37
22,8,Sexicans,23,-5.11,4,4,-1.12,-3.39
23,8,Bromance,24,-6.67,3,5,-1.38,-5.3
24,8,Oy Vey!,25,-7.1,4,4,0.0,-7.1
25,8,Aloha Reunion Team,26,-7.42,2,6,-4.5,-2.22
26,8,Jabba The Huck,27,-7.69,3,5,-1.88,-5.81
27,8,Pirates Hearts Ninjas,28,-8.16,1,7,-3.0,-5.16
28,8,Costa Negra,29,-8.48,4,4,-2.62,-5.25
29,8,Steamhuck,30,-9.37,3,5,-3.88,-5.5
30,8,Sexy Legs,31,-9.52,2,6,-4.38,-4.51
31,8,AUC Mayhem,32,-13.96,1,7,-7.5,-6.46
32,7,Jogo Bonito Social Club,1,6.93,4,3,0.86,7.09
33,7,Glasgow Ultimate,2,6.72,3,4,0.71,7.59
34,7,Shenanigans,3,5.98,5,2,1.71,5.09
35,7,Administrators,4,5.26,5,2,2.0,3.26
36,7,SMOG,5,5.21,4,3,2.0,3.71
37,7,Mubidisk,6,4.2,3,4,-0.14,4.7
38,7,KWR Knury,7,2.51,3,4,-0.71,3.7
39,7,Sugar-Mix,8,2.2,5,2,4.71,-2.52
40,7,Black Sheep,9,1.39,5,2,1.86,0.42
41,7,UAE Mixed,10,0.67,4,3,0.71,0.35
42,7,Disctèrics Ultimate Girona,11,-0.31,4,3,0.29,-0.6
43,7,Wizards,12,-0.36,6,1,3.0,-3.36
44,7,Terrible Monkeys,13,-1.37,3,4,-1.71,0.84
45,7,Left Overs,14,-1.41,2,5,-1.57,0.63
46,7,Too many cooks,15,-1.8,3,4,0.43,-2.23
47,7,Panas ultimate Dream Team,16,-2.01,4,3,0.0,-1.22
48,7,Iron Horse,17,-2.33,2,5,-0.57,-1.26
49,7,Flying Rabbits,18,-2.46,4,3,0.71,-3.18
50,7,Rebel Ultimate,19,-2.81,4,3,1.14,-3.95
51,7,(r)Evolution,20,-3.84,4,3,-1.71,-2.13
52,7,Hungary Mixed National Team,21,-3.94,0,7,-5.14,1.56
53,7,Sexicans,22,-4.48,4,3,-0.86,-3.15
54,7,Rusty Bikes,23,-4.6,3,4,0.86,-5.46
55,7,Bromance,24,-5.65,3,4,-0.43,-5.23
56,7,Aloha Reunion Team,25,-6.23,2,5,-4.86,-0.83
57,7,Jabba The Huck,26,-6.89,3,4,-1.86,-5.04
58,7,Pirates Hearts Ninjas,27,-7.75,1,6,-2.71,-5.04
59,7,Oy Vey!,28,-8.12,3,4,-0.71,-7.41
60,7,Costa Negra,29,-9.29,3,4,-3.29,-5.56
61,7,Sexy Legs,30,-9.4,2,5,-4.71,-4.18
62,7,Steamhuck,31,-10.28,2,5,-4.71,-5.56
63,7,AUC Mayhem,32,-15.61,0,7,-8.86,-6.75
64,6,Jogo Bonito Social Club,1,7.83,4,2,1.5,6.95
65,6,Glasgow Ultimate,2,7.2,3,3,1.0,7.14
66,6,Shenanigans,3,5.32,4,2,1.5,4.31
67,6,Administrators,4,4.96,4,2,2.17,2.8
68,6,Mubidisk,5,4.69,3,3,0.33,4.58
69,6,SMOG,6,4.52,3,3,1.83,2.98
70,6,KWR Knury,7,2.71,2,4,-1.0,3.99
71,6,Sugar-Mix,8,2.28,5,1,5.67,-3.38
72,6,Black Sheep,9,0.9,4,2,1.0,0.42
73,6,UAE Mixed,10,0.64,3,3,0.33,0.53
74,6,Disctèrics Ultimate Girona,11,-0.5,3,3,0.0,-0.5
75,6,Left Overs,12,-0.61,2,4,-0.67,0.33
76,6,Terrible Monkeys,13,-0.97,3,3,-1.5,0.83
77,6,Wizards,14,-1.17,5,1,2.17,-3.33
78,6,Too many cooks,15,-1.33,3,3,0.83,-2.17
79,6,Panas ultimate Dream Team,16,-2.19,3,3,-0.33,-1.4
80,6,Iron Horse,17,-2.41,2,4,-0.33,-1.79
81,6,Flying Rabbits,18,-2.48,4,2,1.17,-3.64
82,6,Hungary Mixed National Team,19,-3.16,0,6,-4.67,1.73
83,6,Rebel Ultimate,20,-3.35,3,3,1.0,-4.35
84,6,(r)Evolution,21,-4.18,3,3,-2.5,-1.68
85,6,Aloha Reunion Team,22,-5.18,2,4,-4.33,-0.51
86,6,Bromance,23,-5.3,3,3,0.0,-5.3
87,6,Sexicans,24,-5.53,3,3,-2.33,-2.91
88,6,Jabba The Huck,25,-5.9,3,3,-0.83,-5.07
89,6,Rusty Bikes,26,-6.03,2,4,-0.33,-5.7
90,6,Pirates Hearts Ninjas,27,-7.9,0,6,-4.5,-3.4
91,6,Sexy Legs,28,-8.51,2,4,-4.5,-3.71
92,6,Oy Vey!,29,-9.21,2,4,-1.83,-7.38
93,6,Costa Negra,30,-9.64,2,4,-4.33,-5.05
94,6,Steamhuck,31,-10.65,2,4,-5.0,-5.65
95,6,AUC Mayhem,32,-15.96,0,6,-9.0,-6.96
96,5,Salaspils FC,1,13.79,5,0,7.8,5.99
97,5,Grut,2,10.39,4,1,4.8,5.59
98,5,Reading Ultimate,3,8.83,4,1,4.0,4.83
99,5,Colorado Karlsruhe,4,8.83,4,1,5.4,3.43
100,5,SeE6,5,8.28,3,2,2.4,5.88
