,Round,Tournament,Date,Team_1,Team_2,Score_1,Score_2
0,8,Windmill Windup 2018,2018-06-24,Otso,Tchac,12,14
1,8,Windmill Windup 2018,2018-06-24,Crazy Dogs,Heidees,8,15
2,8,Windmill Windup 2018,2018-06-24,Iznogood,Freezzz Beezzz,10,15
3,8,Windmill Windup 2018,2018-06-24,KFK (Copenhagen Frisbee Club),Catchup Graz,15,5
4,8,Windmill Windup 2018,2018-06-24,ThebigEZ,Force Elektro,15,12
5,8,Windmill Windup 2018,2018-06-24,COCKtail,Touchless,10,15
6,8,Windmill Windup 2018,2018-06-24,Frank N,Cosmo Maribor,15,14
7,8,Windmill Windup 2018,2018-06-24,FWD>>,KFUM Örebro Frisbee,13,10
8,7,Windmill Windup 2018,2018-06-23,Freezzz Beezzz,Tchac,11,15
9,7,Windmill Windup 2018,2018-06-23,Otso,Iznogood,13,15
10,7,Windmill Windup 2018,2018-06-23,Frank N,KFUM Örebro Frisbee,11,15
11,7,Windmill Windup 2018,2018-06-23,Heidees,KFK (Copenhagen Frisbee Club),10,15
12,7,Windmill Windup 2018,2018-06-23,Crazy Dogs,Force Elektro,15,5
13,7,Windmill Windup 2018,2018-06-23,FWD>>,Touchless,15,10
14,7,Windmill Windup 2018,2018-06-23,COCKtail,ThebigEZ,15,10
15,7,Windmill Windup 2018,2018-06-23,Catchup Graz,Cosmo Maribor,15,9
16,6,Windmill Windup 2018,2018-06-23,Otso,Freezzz Beezzz,12,14
17,6,Windmill Windup 2018,2018-06-23,ThebigEZ,Touchless,10,15
18,6,Windmill Windup 2018,2018-06-23,Tchac,Iznogood,13,15
19,6,Windmill Windup 2018,2018-06-23,Frank N,FWD>>,13,15
20,6,Windmill Windup 2018,2018-06-23,Catchup Graz,Heidees,9,15
21,6,Windmill Windup 2018,2018-06-23,KFK (Copenhagen Frisbee Club),Force Elektro,15,11
22,6,Windmill Windup 2018,2018-06-23,Crazy Dogs,Cosmo Maribor,15,9
23,6,Windmill Windup 2018,2018-06-23,KFUM Örebro Frisbee,COCKtail,14,12
24,5,Windmill Windup 2018,2018-06-23,Heidees,Force Elektro,15,4
25,5,Windmill Windup 2018,2018-06-23,Bad Skid,Iznogood,15,10
26,5,Windmill Windup 2018,2018-06-23,Catchup Graz,Touchless,12,15
27,5,Windmill Windup 2018,2018-06-23,Clapham Ultimate,Freespeed,15,10
28,5,Windmill Windup 2018,2018-06-23,Frank N,ThebigEZ,15,10
29,5,Windmill Windup 2018,2018-06-23,Crazy Dogs,KFUM Örebro Frisbee,10,15
30,5,Windmill Windup 2018,2018-06-23,Tchac,COCKtail,15,7
31,5,Windmill Windup 2018,2018-06-23,Ragnarok,Chevron Action Flash,14,15
32,5,Windmill Windup 2018,2018-06-23,KFK (Copenhagen Frisbee Club),Cosmo Maribor,11,14
33,5,Windmill Windup 2018,2018-06-23,CUSB La Fotta,FUJ,15,12
34,5,Windmill Windup 2018,2018-06-23,FWD>>,Freezzz Beezzz,13,15
35,5,Windmill Windup 2018,2018-06-23,Otso,Ranelagh,10,15
36,4,Windmill Windup 2018,2018-06-22,Crazy Dogs,Catchup Graz,15,14
37,4,Windmill Windup 2018,2018-06-22,FUJ,Chevron Action Flash,15,14
38,4,Windmill Windup 2018,2018-06-22,Freespeed,Otso,12,11
39,4,Windmill Windup 2018,2018-06-22,KFK (Copenhagen Frisbee Club),ThebigEZ,10,15
40,4,Windmill Windup 2018,2018-06-22,Freezzz Beezzz,Frank N,13,15
41,4,Windmill Windup 2018,2018-06-22,Ranelagh,Tchac,15,6
42,4,Windmill Windup 2018,2018-06-22,FWD>>,COCKtail,15,10
