,Round,Team,Rank,Rating,W,L,Avg_Goal_Diff,Avg_Opponent_Rating
0,8,Freezzz Beezzz,1,1.97,4,4,0.0,2.96
1,8,Tchac,2,1.88,5,3,1.25,1.33
2,8,Iznogood,3,1.48,4,4,0.5,1.73
3,8,Otso,4,1.34,2,6,-0.62,3.24
4,8,FWD>>,5,0.78,6,2,2.12,-0.85
5,8,Frank N,6,-1.16,4,4,0.25,-1.41
6,8,KFUM Örebro Frisbee,7,-1.69,4,4,-1.12,-0.14
7,8,COCKtail,8,-3.25,2,6,-1.88,-0.91
8,8,Touchless,9,-3.45,5,3,1.38,-4.82
9,8,KFK (Copenhagen Frisbee Club),10,-4.5,4,4,0.12,-4.41
10,8,Heidees,11,-4.67,4,4,0.25,-4.92
11,8,Crazy Dogs,12,-5.44,3,5,-1.75,-3.26
12,8,ThebigEZ,13,-5.66,3,5,-2.0,-3.17
13,8,Cosmo Maribor,14,-6.48,3,5,-2.0,-4.48
14,8,Catchup Graz,15,-6.84,3,5,-2.12,-4.44
15,8,Force Elektro,16,-11.28,0,8,-6.75,-4.53
16,7,Iznogood,1,2.14,4,3,1.29,1.46
17,7,Otso,2,1.82,2,5,-0.43,3.24
18,7,Tchac,3,1.69,4,3,1.14,1.1
19,7,Freezzz Beezzz,4,1.46,3,4,-0.71,2.92
20,7,FWD>>,5,0.66,5,2,2.0,-0.95
21,7,Frank N,6,-0.63,3,4,0.14,-0.78
22,7,KFUM Örebro Frisbee,7,-1.51,4,3,-0.86,-0.33
23,7,COCKtail,8,-2.79,2,5,-1.43,-0.99
24,7,Touchless,9,-4.38,4,3,0.86,-5.23
25,7,Crazy Dogs,10,-4.46,3,4,-1.0,-3.11
26,7,ThebigEZ,11,-5.19,2,5,-2.71,-2.08
27,7,KFK (Copenhagen Frisbee Club),12,-5.87,3,4,-1.29,-4.42
28,7,Heidees,13,-5.98,3,4,-0.71,-5.26
29,7,Catchup Graz,14,-6.06,3,4,-1.0,-4.83
