,Round,Tournament,Date,Team_1,Team_2,Score_1,Score_2
0,8,Windmill Windup 2018,2018-06-24,Helsinki Ultimate Team,Chaos Ultimate,15,1
1,8,Windmill Windup 2018,2018-06-24,Ultimate Dragons,Slovak women national team,8,14
2,8,Windmill Windup 2018,2018-06-24,Enraladas,Triple Mamasitas,15,4
3,8,Windmill Windup 2018,2018-06-24,Southwest,Czech Women,15,9
4,7,Windmill Windup 2018,2018-06-23,Southwest,Chaos Ultimate,14,2
5,7,Windmill Windup 2018,2018-06-23,Czech Women,Triple Mamasitas,15,13
6,7,Windmill Windup 2018,2018-06-23,Helsinki Ultimate Team,Slovak women national team,15,2
7,7,Windmill Windup 2018,2018-06-23,Enraladas,Ultimate Dragons,14,9
8,6,Windmill Windup 2018,2018-06-23,Czech Women,Ultimate Dragons,15,7
9,6,Windmill Windup 2018,2018-06-23,Southwest,Slovak women national team,15,5
10,6,Windmill Windup 2018,2018-06-23,Helsinki Ultimate Team,Triple Mamasitas,15,9
11,6,Windmill Windup 2018,2018-06-23,Enraladas,Chaos Ultimate,13,6
12,5,Windmill Windup 2018,2018-06-23,Czech Women,Mantis,5,15
13,5,Windmill Windup 2018,2018-06-23,Dublin Gravity,Mainzelmädchen,8,15
14,5,Windmill Windup 2018,2018-06-23,YAKA,Troubles,11,15
15,5,Windmill Windup 2018,2018-06-23,Helsinki Ultimate Team,Southwest,11,15
16,5,Windmill Windup 2018,2018-06-23,Triple Mamasitas,Ultimate Dragons,10,13
17,5,Windmill Windup 2018,2018-06-23,Atletico,Gentleladies,15,12
18,5,Windmill Windup 2018,2018-06-23,Flying Angels Berne - FABulous,Enraladas,15,7
19,5,Windmill Windup 2018,2018-06-23,Chaos Ultimate,Slovak women national team,11,8
20,4,Windmill Windup 2018,2018-06-22,Enraladas,Helsinki Ultimate Team,11,9
21,4,Windmill Windup 2018,2018-06-22,Mantis,Southwest,15,13
22,4,Windmill Windup 2018,2018-06-22,Czech Women,Dublin Gravity,10,15
23,4,Windmill Windup 2018,2018-06-22,Slovak women national team,Triple Mamasitas,11,15
24,4,Windmill Windup 2018,2018-06-22,Gentleladies,Mainzelmädchen,15,13
25,4,Windmill Windup 2018,2018-06-22,YAKA,Atletico,11,15
26,4,Windmill Windup 2018,2018-06-22,Troubles,Flying Angels Berne - FABulous,15,14
27,4,Windmill Windup 2018,2018-06-22,Ultimate Dragons,Chaos Ultimate,6,15
28,3,Windmill Windup 2018,2018-06-22,Troubles,Dublin Gravity,15,9
29,3,Windmill Windup 2018,2018-06-22,Mainzelmädchen,YAKA,4,15
30,3,Windmill Windup 2018,2018-06-22,Southwest,Triple Mamasitas,15,4
31,3,Windmill Windup 2018,2018-06-22,Atletico,Helsinki Ultimate Team,15,8
32,3,Windmill Windup 2018,2018-06-22,Enraladas,Gentleladies,9,15
33,3,Windmill Windup 2018,2018-06-22,Mantis,Chaos Ultimate,15,4
34,3,Windmill Windup 2018,2018-06-22,Flying Angels Berne - FABulous,Czech Women,15,13
35,3,Windmill Windup 2018,2018-06-22,Ultimate Dragons,Slovak women national team,13,14
36,2,Windmill Windup 2018,2018-06-22,Czech Women,Slovak women national team,15,5
37,2,Windmill Windup 2018,2018-06-22,Enraladas,Dublin Gravity,13,14
38,2,Windmill Windup 2018,2018-06-22,Atletico,Triple Mamasitas,14,5
39,2,Windmill Windup 2018,2018-06-22,Flying Angels Berne - FABulous,Mantis,15,10
40,2,Windmill Windup 2018,2018-06-22,Southwest,Ultimate Dragons,11,6
41,2,Windmill Windup 2018,2018-06-22,Helsinki Ultimate Team,Mainzelmädchen,9,14
42,2,Windmill Windup 2018,2018-06-22,Chaos Ultimate,Troubles,3,15
43,2,Windmill Windup 2018,2018-06-22,Gentleladies,YAKA,9,15
44,1,Windmill Windup 2018,2018-06-22,Helsinki Ultimate Team,Ultimate Dragons,15,2
45,1,Windmill Windup 2018,2018-06-22,YAKA,Czech Women,15,7
46,1,Windmill Windup 2018,2018-06-22,Mantis,Enraladas,6,11
47,1,Windmill Windup 2018,2018-06-22,Atletico,Troubles,14,12
48,1,Windmill Windup 2018,2018-06-22,Flying Angels Berne - FABulous,Dublin Gravity,10,12
49,1,Windmill Windup 2018,2018-06-22,Mainzelmädchen,Southwest,15,4
50,1,Windmill Windup 2018,2018-06-22,Gentleladies,Slovak women national team,14,5
51,1,Windmill Windup 2018,2018-06-22,Chaos Ultimate,Triple Mamasitas,9,10
