,Round,Team,Rank,Rating,W,L,Avg_Goal_Diff,Avg_Opponent_Rating
0,8,Helsinki Ultimate Team,1,0.78,4,4,3.5,-1.82
1,8,Southwest,2,0.58,6,2,4.38,-3.34
2,8,Enraladas,3,0.11,5,3,1.88,-1.01
3,8,Czech Women,4,-2.91,3,5,-1.38,-0.5
4,8,Triple Mamasitas,5,-7.28,2,6,-4.62,-2.12
5,8,Chaos Ultimate,6,-7.77,2,6,-5.62,-1.55
6,8,Slovak women national team,7,-9.35,2,6,-5.25,-3.83
7,8,Ultimate Dragons,8,-9.9,1,7,-5.5,-4.4
8,7,Southwest,1,0.28,5,2,4.14,-3.52
9,7,Helsinki Ultimate Team,2,-0.06,3,4,2.0,-1.4
10,7,Enraladas,3,-0.32,4,3,0.57,-0.32
11,7,Czech Women,4,-2.43,3,4,-0.71,-0.92
12,7,Triple Mamasitas,5,-6.75,2,5,-3.71,-2.63
13,7,Chaos Ultimate,6,-6.97,2,5,-4.43,-2.07
14,7,Ultimate Dragons,7,-9.17,1,6,-5.43,-3.74
15,7,Slovak women national team,8,-9.97,1,6,-6.86,-2.93
16,6,Enraladas,1,0.52,3,3,-0.17,1.06
17,6,Southwest,2,-0.87,4,2,2.83,-3.5
18,6,Helsinki Ultimate Team,3,-0.97,2,4,0.17,-0.77
19,6,Czech Women,4,-1.93,2,4,-1.17,-0.26
20,6,Chaos Ultimate,5,-6.14,2,4,-3.17,-2.68
21,6,Triple Mamasitas,6,-7.46,2,4,-4.0,-3.24
22,6,Slovak women national team,7,-9.66,1,5,-5.83,-3.72
23,6,Ultimate Dragons,8,-10.01,1,5,-5.5,-4.51
24,5,YAKA,1,7.32,3,2,3.4,3.92
25,5,Troubles,2,7.03,4,1,4.2,2.83
26,5,Atletico,3,6.86,5,0,5.0,1.86
27,5,Flying Angels Berne - FABulous,4,4.22,3,2,2.4,1.82
28,5,Mainzelmädchen,5,4.1,3,2,2.0,2.1
29,5,Gentleladies,6,3.47,3,2,1.6,1.87
30,5,Dublin Gravity,7,1.79,3,2,-1.0,2.79
31,5,Mantis,8,1.73,3,2,2.6,-0.87
32,5,Enraladas,9,0.45,2,3,-1.6,2.05
33,5,Helsinki Ultimate Team,10,-0.95,1,4,-1.0,0.05
34,5,Southwest,11,-1.14,3,2,1.4,-2.54
35,5,Czech Women,12,-1.87,1,4,-3.0,1.13
36,5,Chaos Ultimate,13,-6.04,2,3,-2.4,-3.64
37,5,Triple Mamasitas,14,-7.55,2,3,-3.6,-3.95
38,5,Slovak women national team,15,-9.4,1,4,-5.0,-4.4
39,5,Ultimate Dragons,16,-10.02,1,4,-5.0,-5.02
40,4,YAKA,1,9.02,3,1,5.25,3.77
41,4,Atletico,2,7.57,4,0,5.5,2.07
42,4,Troubles,3,6.06,3,1,4.25,1.81
43,4,Gentleladies,4,3.95,3,1,2.75,1.2
44,4,Dublin Gravity,5,3.36,3,1,0.5,2.86
45,4,Flying Angels Berne - FABulous,6,3.32,2,2,1.0,2.32
46,4,Mainzelmädchen,7,3.15,2,2,0.75,2.4
47,4,Enraladas,8,1.66,2,2,0.0,1.66
48,4,Czech Women,9,0.41,1,3,-1.25,1.66
49,4,Helsinki Ultimate Team,10,-0.12,1,3,-0.25,0.13
50,4,Mantis,11,-0.57,2,2,0.75,-1.32
51,4,Southwest,12,-3.24,2,2,0.75,-3.99
52,4,Triple Mamasitas,13,-6.68,2,2,-3.75,-2.93
53,4,Chaos Ultimate,14,-7.01,1,3,-3.75,-3.26
54,4,Slovak women national team,15,-9.04,1,3,-5.5,-3.54
55,4,Ultimate Dragons,16,-11.85,0,4,-7.0,-4.85
56,3,YAKA,1,12.97,3,0,8.33,4.63
57,3,Gentleladies,2,5.6,2,1,3.0,2.6
58,3,Mainzelmädchen,3,5.21,2,1,1.67,3.54
59,3,Atletico,4,4.25,3,0,6.0,-1.75
60,3,Troubles,5,3.69,2,1,5.33,-1.65
61,3,Czech Women,6,3.1,1,2,0.0,3.1
62,3,Flying Angels Berne - FABulous,7,2.48,2,1,1.67,0.81
63,3,Dublin Gravity,8,1.38,2,1,-1.0,2.38
64,3,Enraladas,9,0.98,1,2,-0.67,1.65
65,3,Helsinki Ultimate Team,10,0.43,1,2,0.33,0.1
66,3,Mantis,11,-2.04,1,2,0.33,-2.37
67,3,Southwest,12,-2.78,2,1,1.67,-4.44
68,3,Slovak women national team,13,-6.16,1,2,-6.0,-0.16
69,3,Ultimate Dragons,14,-9.17,0,3,-6.33,-2.83
70,3,Triple Mamasitas,15,-9.37,1,2,-6.33,-3.03
71,3,Chaos Ultimate,16,-10.57,0,3,-8.0,-2.57
72,2,Mainzelmädchen,1,8.25,2,0,8.0,0.25
73,2,YAKA,2,7.62,2,0,7.0,0.63
74,2,Atletico,3,5.75,2,0,5.5,0.25
75,2,Troubles,4,4.75,1,1,5.0,-0.25
76,2,Helsinki Ultimate Team,5,3.75,1,1,4.0,-0.25
77,2,Dublin Gravity,6,2.37,2,0,1.5,0.88
78,2,Enraladas,7,1.13,1,1,2.0,-0.88
79,2,Gentleladies,8,0.87,1,1,1.5,-0.62
80,2,Flying Angels Berne - FABulous,9,0.63,1,1,1.5,-0.88
81,2,Czech Women,10,0.38,1,1,1.0,-0.62
82,2,Southwest,11,-3.25,1,1,-3.0,-0.25
83,2,Mantis,12,-4.13,0,2,-5.0,0.88
84,2,Triple Mamasitas,13,-4.25,1,1,-4.0,-0.25
85,2,Chaos Ultimate,14,-6.25,0,2,-6.5,0.25
86,2,Ultimate Dragons,15,-8.75,0,2,-9.0,0.25
87,2,Slovak women national team,16,-8.87,0,2,-9.5,0.63
88,1,Helsinki Ultimate Team,1,6.5,1,0,13.0,-6.5
89,1,Mainzelmädchen,2,5.5,1,0,11.0,-5.5
90,1,Gentleladies,3,4.5,1,0,9.0,-4.5
91,1,YAKA,4,4.0,1,0,8.0,-4.0
92,1,Enraladas,5,2.5,1,0,5.0,-2.5
93,1,Dublin Gravity,6,1.0,1,0,2.0,-1.0
94,1,Atletico,7,1.0,1,0,2.0,-1.0
95,1,Triple Mamasitas,8,0.5,1,0,1.0,-0.5
96,1,Chaos Ultimate,9,-0.5,0,1,-1.0,0.5
97,1,Troubles,10,-1.0,0,1,-2.0,1.0
98,1,Flying Angels Berne - FABulous,11,-1.0,0,1,-2.0,1.0
99,1,Mantis,12,-2.5,0,1,-5.0,2.5
100,1,Czech Women,13,-4.0,0,1,-8.0,4.0
101,1,Slovak women national team,14,-4.5,0,1,-9.0,4.5
102,1,Southwest,15,-5.5,0,1,-11.0,5.5
103,1,Ultimate Dragons,16,-6.5,0,1,-13.0,6.5
